CountryName,CountryCode,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,ConfirmedCases,ConfirmedDeaths,HealthIndexChange,ContainmentHealthIndex,Cases after 1 week,Cases after 2 weeks,Cases after 3 weeks,Cases after 4 weeks
Italy,ITA,20200524,3.00,2.00,2.00,0.00,0.00,1.00,2.00,3.00,2.00,2.00,2.00,229327,32735,0,67.42,,,,
Italy,ITA,20200525,3.00,2.00,2.00,0.00,0.00,1.00,2.00,3.00,2.00,2.00,2.00,229858,32785,0,67.42,,,,
Italy,ITA,20200526,3.00,2.00,2.00,0.00,0.00,1.00,2.00,3.00,2.00,2.00,2.00,230158,32877,0,67.42,,,,
Italy,ITA,20200527,3.00,2.00,2.00,0.00,0.00,1.00,2.00,3.00,2.00,2.00,2.00,230555,32955,0,67.42,,,,
Italy,ITA,20200528,3.00,2.00,2.00,0.00,0.00,1.00,2.00,3.00,2.00,2.00,2.00,231139,33072,0,67.42,,,,
Italy,ITA,20200529,3.00,2.00,2.00,0.00,0.00,1.00,2.00,3.00,2.00,2.00,2.00,231732,33142,0,67.42,,,,
Italy,ITA,20200530,3.00,2.00,2.00,0.00,0.00,1.00,2.00,3.00,2.00,2.00,2.00,232248,33229,0,67.42,,,,
Italy,ITA,20200531,3.00,2.00,2.00,0.00,0.00,1.00,2.00,3.00,2.00,2.00,2.00,232664,33340,0,67.42,,,,
Italy,ITA,20200601,3.00,2.00,2.00,0.00,0.00,1.00,2.00,3.00,2.00,2.00,2.00,233019,33415,0,67.42,,,,
Italy,ITA,20200602,3.00,2.00,2.00,0.00,0.00,1.00,0.00,3.00,2.00,2.00,2.00,233197,33475,1,58.33,-1,-1,-1,-1
Italy,ITA,20200603,3.00,2.00,2.00,0.00,0.00,1.00,0.00,0.00,2.00,2.00,2.00,233515,33530,1,51.52,-1,-1,-1,-1
Italy,ITA,20200604,3.00,2.00,2.00,0.00,0.00,1.00,0.00,0.00,2.00,2.00,2.00,233836,33601,0,51.52,,,,
Italy,ITA,20200605,3.00,2.00,2.00,0.00,0.00,1.00,0.00,0.00,2.00,2.00,2.00,234013,33689,0,51.52,,,,
Italy,ITA,20200606,3.00,2.00,2.00,0.00,0.00,1.00,0.00,0.00,2.00,2.00,2.00,234531,33774,0,51.52,,,,
Italy,ITA,20200607,3.00,2.00,2.00,0.00,0.00,1.00,0.00,0.00,2.00,2.00,2.00,234801,33846,0,51.52,,,,
Italy,ITA,20200608,3.00,2.00,2.00,0.00,0.00,1.00,0.00,0.00,2.00,2.00,2.00,234998,33899,0,51.52,,,,
Italy,ITA,20200609,3.00,2.00,2.00,0.00,0.00,1.00,0.00,0.00,2.00,2.00,2.00,235278,33964,0,51.52,,,,
